name,breed,gender,age,weight,id,unavailable
,Shepherd (mix),Male,6 months,30 lbs,11401,
,Doberman Pinscher - Labrador Retriever (mix),Female,4 years,65 lbs,11270,
,Hound (mix),Male,6 weeks,7 lbs,11443,
,Hound (mix),Male,6 weeks,8 lbs,11444,
,Hound (mix),Female,6 weeks,7 lbs,11445,
,Hound (mix),Female,6 weeks,8 lbs,11446,
,Hound (mix),Male,6 weeks,7 lbs,11447,
,Hound (mix),Female,6 weeks,7 lbs,11448,
,Hound (mix),Male,6 weeks,6 lbs,11449,
,Labrador Retriever (mix),Male,6 years,90 lbs,11510,
,Labrador Retriever (mix),Male,1 year,50 lbs,11336,
,Husky - Labrador Retriever (mix),Female,1 year,45 lbs,11438,
,Shepherd (mix),Female,6 months,25 lbs,11330,
,Pointer - Labrador Retriever (mix),Female,4 years,40 lbs,11433,
,Flat-Coated Retriever - Collie (mix),Male,10 months,32 lbs,11529,
,Labrador Retriever (purebred),Male,4 years,85 lbs,10693,
,Labrador Retriever - Terrier (mix),Female,7 weeks,5 lbs,11425,
,Labrador Retriever - Terrier (mix),Female,7 weeks,5 lbs,11426,
,Labrador Retriever - Terrier (mix),Male,7 weeks,7 lbs,11427,
,Labrador Retriever - Terrier (mix),Female,7 weeks,7 lbs,11428,
,Labrador Retriever - Terrier (mix),Male,7 weeks,5 lbs,11429,
,Labrador Retriever - Terrier (mix),Male,7 weeks,7 lbs,11430,
,Labrador Retriever - Terrier (mix),Male,7 weeks,7 lbs,11431,
,Labrador Retriever - Terrier (mix),Male,2 years,30 lbs,11441,
,Australian Cattle Dog (Blue Heeler) (mix),Male,2 years,48 lbs,11497,
,Flat-Coated Retriever - Border Collie (mix),Female,1 year,45 lbs,11279,
,Pointer (mix),Female,7 weeks,8 lbs,11416,
,Pointer (mix),Female,7 weeks,8 lbs,11417,
,Pointer (mix),Female,7 weeks,8 lbs,11418,
,Pointer (mix),Male,7 weeks,8 lbs,11419,
,Pointer (mix),Female,7 weeks,8 lbs,11420,
,Pointer (mix),Male,7 weeks,8 lbs,11421,
,Pointer (mix),Male,7 weeks,8 lbs,11422,
,Pointer (mix),Female,7 weeks,6 lbs,11423,
,Pointer (mix),Female,7 weeks,8 lbs,11424,
,Shepherd (mix),Male,4 months,26 lbs,11528,
,Labrador Retriever (mix),Female,2 years,30 lbs,11055,
,Pit Bull Terrier (mix),Female,1 year,35 lbs,10543,
